Calculation summary:						
						
Room ID	Room name	Analysis calculation				
		Performed	Succeeded			
0_00000D	+0 Bathroom	X	-			
0_00000E	+0 Bathroom	X	-			
0_000007	+0 Bathroom	X	-			
0_000009	+0 Bathroom	X	-			
0_00000B	+0 Bathroom	X	-			
0_000003	+0 Bathroom	X	-			
1B00005A	+0 Bathroom	X	-			
1B00005B	+0 Bathroom	X	-			
1B00005D	+0 Bathroom	X	-			
1B00005E	+0 Bathroom	X	-			
1B000060	+0 Bathroom	X	-			
1B000061	+0 Bathroom	X	-			
1B000062	+0 Bathroom	X	-			
1B000063	+0 Bathroom	X	-			
1B000064	+0 Bathroom	X	-			
1B000065	+0 Bathroom	X	-			
1B000068	+0 Bathroom	X	-			
1B00006E	+0 Bathroom	X	-			
1B00006F	+0 Bathroom	X	-			
1B000071	+0 Bathroom	X	-			
1B000073	+0 Bathroom	X	-			
1B000074	+0 Bathroom	X	-			
1B000076	+0 Bathroom	X	-			
1B000077	+0 Bathroom	X	-			
1B000078	+0 Bathroom	X	-			
1B00007A	+0 Bathroom	X	-			
1B00007B	+0 Bathroom	X	-			
1B00007C	+0 Bathroom	X	-			
1B00007D	+0 Bathroom	X	-			
1B00007E	+0 Bathroom	X	-			
1B00007F	+0 Bathroom	X	-			
1B000080	+0 Bathroom	X	-			
1B000081	+0 Bathroom	X	-			
0B000001	+0 Bathroom	X	-			
0B000005	+0 Bathroom	X	-			
0B000008	+0 Bathroom	X	-			
0B000004	+0 Bathroom	X	-			
0L000008	+0 Bathroom	X	-			
0B000002	+0 Bathroom	X	-			
0B00000B	+0 Bathroom	X	-			
12000000	+0 Bathroom	X	-			
12000001	+0 Bathroom	X	-			
12000004	+0 Bathroom	X	-			
1B000059	+0 Bathroom	X	-			
1B000099	+0 Bedroom	X	-			
1B0000B1	+0 Bedroom	X	-			
1B0000AE	+0 Bedroom	X	-			
1B0000AD	+0 Bedroom	X	-			
1B0000AC	+0 Bedroom	X	-			
1B0000AB	+0 Bedroom	X	-			
0B00000A	+0 Bedroom	X	-			
0L000010	+0 Bedroom	X	-			
0L00000E	+0 Bedroom	X	-			
0L000003	+0 Bedroom	X	-			
0B000006	+0 Bedroom	X	-			
1L000004	+0 Bedroom	X	-			
1B0000AA	+0 Bedroom	X	-			
1B0000A9	+0 Bedroom	X	-			
1B0000A8	+0 Bedroom	X	-			
0B000003	+0 Bedroom	X	-			
1B0000AF	+0 Bedroom	X	-			
0B000007	+0 Bedroom	X	-			
1B000085	+0 Bedroom	X	-			
1B000086	+0 Bedroom	X	-			
1B000087	+0 Bedroom	X	-			
1B00008B	+0 Bedroom	X	-			
1B00008C	+0 Bedroom	X	-			
1B00008E	+0 Bedroom	X	-			
1B00008F	+0 Bedroom	X	-			
1B000090	+0 Bedroom	X	-			
1B000092	+0 Bedroom	X	-			
1B000093	+0 Bedroom	X	-			
1B000094	+0 Bedroom	X	-			
1B000096	+0 Bedroom	X	-			
1B000097	+0 Bedroom	X	-			
1B000098	+0 Bedroom	X	-			
1B0000A7	+0 Bedroom	X	-			
1B00009B	+0 Bedroom	X	-			
1B00009E	+0 Bedroom	X	-			
1B0000A5	+0 Bedroom	X	-			
1B00009F	+0 Bedroom	X	-			
1B0000A0	+0 Bedroom	X	-			
1B0000A1	+0 Bedroom	X	-			
1L000028	+0 Circulation	X	-			
0B000000	+0 Circulation	X	-			
0C000001	+0 Circulation	X	-			
0C000000	+0 Circulation	X	-			
0C000002	+0 Circulation	X	-			
1C000007	+0 Circulation	X	-			
1C000008	+0 Circulation	X	-			
0C000004	+0 Circulation	X	-			
0C000006	+0 Circulation	X	-			
0C00000A	+0 Circulation	X	-			
0B000009	+0 Kitchen	?	?			
1K000002	+0 Kitchen	?	?			
1K000003	+0 Kitchen	?	?			
0L000005	+0 Living room	?	?			
